name,phone,address,website
Childs' Emerald Tyre Service,0403 666 361,"125 Clermont St, Emerald QLD 4720",https://www.childsemeraldtyreservice.com.au
Hunter Valley Tracks Pty Ltd,(02) 4932 1181,"148 Racecourse Rd, Rutherford NSW 2320",http://www.huntervalleytracks.net.au
Hardweld Pty Ltd,(03) 5148 2091,"97 Maffra Rd, Heyfield VIC 3858",https://www.hardweldpl.com.au
Kinsela Plant Repairs,0450 954 654,N/A,N/A
Huski Construction Equipment,(02) 6218 1224,"144 Gilmore Rd, Queanbeyan NSW 2620",https://www.huskiconstructionequipment.com.au
DM Breaker Equipment,(08) 9452 1112,"25 Valencia Way, Maddington WA 6109",http://www.dmbreaker.com
JF Machinery Pty Ltd,(03) 6263 5576,"25 Possum Rd, Bridgewater TAS 7030",https://www.jfmachinery.com.au
Excavator Parts Pty Ltd,(02) 6581 1589,N/A,http://www.excavatorparts.com.au
T-Quip,(08) 9479 4708,"36 Abernathy Rd, Belmont WA 6104",http://www.tquip.com.au
Hydrapower Attachments Pty Ltd,(07) 3477 9073,N/A,http://www.hydrapower.com.au
Turner's Engineering,(07) 5578 1733,N/A,http://www.turnersengineering.com.au
Callcorr Pty Ltd,(07) 4959 6211,"7 Munbura Rd, Mackay QLD 4740",http://callcorr.com.au
Turner's Engineering (QLD),(07) 4982 7522,N/A,http://www.turnersengineering.com.au
Honeycombes Sales & Service,(07) 4034 6400,"23 Supply Rd, Bentley Park QLD 4869",https://www.honeycombes.com.au
RFG Sales & Spares,(03) 6435 1544,"24C Besser Crst, Camdale TAS 7320",http://www.rfgsales.com.au
P A & C I Martin,(08) 8641 1958,"11-15 Brooks St, Port Augusta SA 5700",http://www.paandcimartin.com.au
Van Damme Plant Hire Pty Ltd,(07) 4956 2214,N/A,https://vandammeph.com.au
Hockey Machinery Sales Pty Ltd,0428 772 902,"39 Supply Rd, Bentley Park QLD 4869",http://www.hockeymachinery.com
S.A. Lift & Loader Pty Ltd,(08) 8243 0788,"253 Hanson Rd, Wingfield SA 5013",http://www.saliftandloader.com.au
J & S Engineering & Maintenance Pty Ltd,(02) 4932 7379,"126 Racecourse Rd, Rutherford NSW 2320",http://www.jsengineering.com.au
Capital Construction Equipment,(02) 6025 0444,"8 Catherine Cres, Lavington NSW 2641",https://capitalconstruction.com.au
Onsite Equipment Hire,0438 025 496,N/A,https://www.onsitehiremildura.com.au
Diggermate Mini Excavator Hire Armadale,0488 003 164,N/A,https://www.diggermate.com.au/locations/armadale
All -Make Trencher Sales & Service Pty Ltd,(08) 8266 0190,"23 Dundee Ave, Holden Hill SA 5088",http://www.allmaketrencher.com.au
ShawX Manufacturing,(07) 3286 3794,"Level 1 55 Enterprise St, Cleveland QLD 4163",https://www.shawx.com.au
DLM Machinery,(03) 6339 1550,"17 - 21 Killafaddy Rd, St Leonards TAS 7250",http://www.dlmmachinery.com.au
Onetrak Hyundai,Send Email,N/A,http://www.onetrak.com.au
CES Australia,(02) 6585 3266,"16 Business Cct, Wauchope NSW 2446",http://www.cesaustralia.com.au
LiftRite Hire & Sales,(08) 9246 6200,"3-5 Zanni St, Canning Vale WA 6155",https://www.liftrite.com.au
Super Groups,(03) 9702 3999,"30-32 Abbott Rd, Hallam VIC 3803",http://www.supergroups.com.au
Tracserv Pty Ltd,(02) 6881 5400,"19 Purvis Lane, Dubbo NSW 2830",http://www.tracserv.net.au
BMI Engineering,(07) 3219 5666,"27 Activity St, Acacia Ridge QLD 4110",http://www.bmiengineering.com.au
Hitachi Construction Machinery Australia GLOBAL,1300 448 224,N/A,https://hitachicm.com.au
Onetrak,1300 727 520,"8 Wallis Rd, Davenport WA 6230",http://www.onetrak.com.au
Embrey Attachments Pty Ltd,(03) 9504 5008,"25 Mary St, Pakenham VIC 3810",http://www.embreyattachments.com.au
Tracserv Trucks,(02) 6360 1851,"9 Scott Pl, Orange NSW 2800",http://www.tracserv.net.au
Childs' Emerald Tyre Service,0403 666 361,"125 Clermont St, Emerald QLD 4720",https://www.childsemeraldtyreservice.com.au
Cavpower,(08) 8445 5800,N/A,http://www.cavpower.com/cavpower/home.jsp
Gato Sales and Repairs,(02) 4955 5533,"24 Carbine Cl, Maryland NSW 2287",http://www.gatosales.com.au
CQ Diesel Fitting,(07) 4972 7401,"23 Bensted Rd, Callemondah QLD 4680",http://www.cqdieselfitting.com.au
Vermeer Equipment Of WA & NT,(08) 9479 4994,"22 Ballantyne Rd, Kewdale WA 6105",http://www.vermeerwa.com.au
Supreme Rentals & Sales,(02) 6056 2999,"79 Wigg St, Wodonga NSW 3690",http://www.supremeforks.com.au
Attachment Solutions,(08) 9531 3087,N/A,http://www.attachmentsolutionswa.com.au
Buckley's Plant Maintenance P/L (BPM),(02) 4271 1918,"7- 9 Brady St, Berkeley NSW 2506",http://www.bp-services.com.au
CA Construction,(07) 3277 1000,"500 Freeman Rd, Richlands QLD 4077",http://www.chesterfieldaustralia.com.au
Stonetec Industrial Supplies Pty Ltd,(03) 6248 5850,"1092 Cambridge Rd, Cambridge TAS 7170",http://stonetec.net.au
Maintcorp,(08) 8244 6300,"40 Millers Rd, Wingfield SA 5013",http://www.maintcorp.com.au
Australian Construction Equipment Pty Ltd,(08) 8359 5700,"9 Senna Rd, Wingfield SA 5013",http://www.acequipment.com.au
South Coast Track Repairs,(02) 4421 3771,"8 Concorde Way, Bomaderry NSW 2541",http://www.sctr.net.au
M2E Maintenance & Fitting Pty Ltd,0400 344 687,"Unit 1 15 Hargraves Pl, Wetherill Park NSW 2164",http://www.earthmovingattachmenttools.com.au
Westside Equipment,(08) 9726 0388,"14 McCombe Rd, Davenport WA 6230",http://westsideequipment.com.au
Terrequipe Pty Ltd,(07) 4936 3577,"1011-1021 Bruce Hwy, Parkhurst QLD 4701",http://terrequipe.com.au
Wacker Neuson,(03) 9549 0000,"31-41 National Dr, Dandenong South VIC 3175",http://www.wackerneuson.com
South Adelaide Plant Hire,0424 656 552,"28 Chapman Rd, Hackham SA 5163",N/A
Crawler Chains,(07) 5428 1924,"65 Pasturage Rd, Caboolture QLD 4510",N/A
Digga West,(08) 9457 1544,"6/ 15 Yampi Way, Willetton WA 6155",http://www.digga.com.au
Erling Australia,1300 375 350,"47 Cascade Rd, Romaine TAS 7320",N/A
Smart Hire Oakleigh & Carnegie,(03) 8546 5744,"21-25 Coora Rd, Oakleigh South VIC 3167",N/A
HME Plant Mechanical Repairs Pty Ltd,(08) 9093 2255,"72 Chaffers St, South Boulder WA 6432",N/A
Woodhams Grading Pty Ltd,(08) 9927 2051,N/A,N/A
QLD Heavy Earthmoving & Machinery Maintenance,0432 736 741,N/A,N/A
Somerled Services,(08) 8388 6244,N/A,N/A
Trackspares – Trackex Aust,1300 872 257,"55 Greenwich Parade, Neerabup WA 6031",http://www.trackspares.com.au
Pemco Diesel Pty Ltd,(08) 9964 8511,"5 Box St, Webberton WA 6530",http://www.pemcodiesel.com.au
ALR Earthmoving Repairs,0412 127 722,"18 Old Mill Rd, Bannockburn QLD 4207",http://www.alrearthrep.com.au
Coastal Skid Steer Services Pty Ltd,(02) 4323 4340,"Unit 4/ 332 Manns Rd, Gosford West NSW 2250",N/A
Expressway Spares Pty Ltd,(07) 4955 0220,"7 Commercial Ave, Mackay QLD 4740",N/A
Bill & Vicki Holroyd Mechanical & Plant Equipment Repairs,(02) 6642 6196,"143 Turf St, Grafton NSW 2460",N/A
Compact Earthmoving Equipment,(08) 9721 1444,N/A,N/A
Kevin Peucker Diesel Services,(03) 5244 2304,"135 Marshalltown Rd, Grovedale VIC 3216",N/A
Hi Grade Machine Boring,(08) 9271 4460,N/A,N/A
MJM Heavy Equipment Repairs,0427 991 217,"1 Ballinger St, Horsham VIC 3400",N/A
Childs' Emerald Tyre Service,0403 666 361,"125 Clermont St, Emerald QLD 4720",https://www.childsemeraldtyreservice.com.au
Isa Diesel & Earthmoving Repairs,(07) 4743 5233,"2A Goroka St, Soldiers Hill QLD 4825",N/A
Ulan Water Pty Ltd,(02) 6373 4733,"7003 Main St, Ulan NSW 2850",https://ulanwater.com
Earthmoving Wearparts & Attachments Pty Ltd,(02) 4956 8460,"Unit 1/ 10 Nelson Rd, Cardiff NSW 2285",http://www.ewansw.com.au
Goodsell Earthmoving,(07) 4778 2791,"721 Flinders Hwy, Brookhill QLD 4816",https://www.goodsellearthmoving.com.au
Steelcon Cava Pty Ltd,(07) 4743 3766,N/A,http://www.steelconcava.com.au
All Digger Parts Pty Ltd,(02) 6067 9139,"6 Kane Rd, Wodonga VIC 3690",http://www.alldiggerparts.com.au
Childs' Emerald Tyre Service,0403 666 361,"125 Clermont St, Emerald QLD 4720",https://www.childsemeraldtyreservice.com.au
Sunshine Coast Mini Excavator Hire,0404 118 721,N/A,https://sunshinecoastminiexcavators.com.au
Mobile Machinery Repairs,0408 708 724,N/A,N/A
Power Earthmoving Repairs Pty Ltd,0459 618 699,"179 Herber St, Moree NSW 2400",N/A
Sharp's Heavy Equipment Repairs Pty Ltd,(07) 4941 2800,"4 Dysart Bypass Rd, Dysart QLD 4745",http://www.sharpsheavy.com.au
Boyes Earthmoving Repairs,0400 375 155,"110 Teven Rd, West Ballina NSW 2478",N/A
Rob Howard Track Repairs,0427 008 553,N/A,N/A
D J B Plant Repairs,0410 433 022,"2/ 22 Munibung Rd, Cardiff NSW 2285",N/A
Tallen Earthmoving Repairs P/L,0414 657 947,N/A,N/A
Elite Earthmoving Repairs,0418 856 073,"35 Chapman Rd, Hackham SA 5163",N/A
Western Diesel Repairs Pty Ltd,(07) 4743 9575,"51 Commercial Rd, Ryan QLD 4825",N/A
Mellor G K Mechanical Repairs,(08) 9246 1280,"24 Ayton Way, Duncraig WA 6023",N/A
Gato Repairs,(02) 4953 1711,"14 Stenhouse Dr, Cameron Park NSW 2286",N/A
Sharps Heavy Equipment Repairs Pty Ltd,(07) 4955 2666,N/A,N/A
B & K Machinery Repairs,(02) 6550 4390,N/A,N/A
Bobcat & Forklift Sales & Repairs,(08) 9250 2246,"Lot 252 Muros Pl, Midvale WA 6056",N/A
Langes Earthmoving Repairs Pty Ltd,0418 441 573,"17 Norma Cl, Bargo NSW 2574",N/A
EDH Service & Repairs,0428 871 898,N/A,N/A
Bonza Earth Moving Repairs Pty Ltd,(07) 4987 5139,"8 Munro Rd, Emerald QLD 4720",N/A
KV Engineering & Mechanical Repairs,(02) 6238 2087,N/A,N/A
McSwan Excavation Equipment Repairs,0428 661 284,N/A,N/A
Normech equipment repairs Pty Ltd,0407 753 270,"3 Mile Garden Roxmear Rd, Cloncurry QLD 4824",N/A
Lawrence's Ag & Machinery Repairs,0414 234 841,N/A,N/A
Mick Beer's Mechanical Repairs,(08) 8250 4348,"23 Beafield Rd, Para Hills West SA 5096",N/A
Central Earthmoving Repairs,0419 574 515,N/A,N/A
"""Nuts & Bolts"" Diesel Repairs",0407 086 029,N/A,N/A
Machine Gate - a qualified construction machinery repairing and servicing spot,0434 385 470,N/A,N/A
Bore Repair Solutions,0429 114 560,N/A,N/A
Geodetic Supply & Repair,(08) 9409 4058,"Unit 7, 7 Prindiville Drv, Wangara WA 6065",N/A
Childs' Emerald Tyre Service,0403 666 361,"125 Clermont St, Emerald QLD 4720",https://www.childsemeraldtyreservice.com.au
Sable Engineering & Metaland Pty Ltd,(02) 6598 4303,"23 Yarrawonga St, Macksville NSW 2447",http://www.sable.net.au
Drage Boilermaking Services,0413 554 352,"49 Oroya St, South Boulder WA 6432",http://www.drageboilermaking.com.au
Austec Industrial Engineering,(02) 6229 6500,"50 Bayldon Rd, Queanbeyan NSW 2620",http://www.austec.net.au
Mendham Engineering Pty Ltd,(07) 3275 3311,"1800 Ipswich Rd, Rocklea QLD 4106",http://www.mendhamengineering.com.au
Wilson & Oliver Engineering,0425 268 310,N/A,https://www.wilsonandoliver.com.au
Maltec Engineering Pty Ltd,(03) 6435 0002,"20 Besser Crst, Camdale TAS 7320",http://www.malteceng.com.au
VVA Engineering - Industrial Engineering Resources,(07) 5481 1133,"9 Dennis Little Dr, Glanmire QLD 4570",http://www.vvaengineering.com
McKeeco General Engineering,(02) 6621 9544,"2 Industry Dr, Lismore NSW 2480",https://www.mckeeco.com.au
Overload Machining Services Pty Ltd,(08) 9470 3043,"13-14/ 210 Star St, Welshpool WA 6106",http://www.overloadmachining.com.au
Reid Engineering Pty. Ltd.,(03) 5241 7383,"172 Marshalltown Rd, Grovedale VIC 3216",http://www.reidengineering.com.au
Nelmac Engineering & Body Building,(02) 6027 1942,"63 Back Creek Rd, Yackandandah VIC 3749",http://www.nelmac.net.au
Cummins Bearings & Engineering,(08) 8676 2444,"6-10 Jeanes Street, Cummins SA 5631",http://www.cumminsbe.com.au
CQM Engineering,(07) 5438 7767,N/A,http://www.cqmengineering.com.au
Daw & Daw Line Boring Services,0412 089 755,"Unit 16 2-14 Sheffield Rd, Welshpool WA 6106",http://www.dawlineboring.com.au
Denton Engineering & Hydraulics Pty Ltd,(02) 4964 2287,"Unit 2 118 Glenwood Dr, Thornton NSW 2322",http://www.dentonengineering.com.au
J.A. Cox Engineering Pty Ltd,(03) 5721 2830,"4 Gibson St, Wangaratta VIC 3677",http://www.jacoxengineering.com.au
Aero Spec Engineering Pty Ltd,(03) 9547 8178,"19 Eileen Rd, Clayton South VIC 3169",https://aerospeceng.com.au
C & S Engineering & Toolmaking Pty Ltd,(02) 4648 3800,"Unit 23/ 24 Anzac Ave, Smeaton Grange NSW 2567",http://www.candsengineering.com.au
Regal Engineering & Line Boring Pty Ltd,(08) 9093 2791,"16 Vivian St, Boulder WA 6432",http://www.regalengineering.com.au
Swadling Engineering,(02) 6642 2977,"24 Swallow Rd, South Grafton NSW 2460",N/A
Jastec Sheet Metal & Engineering,0409 321 713,"122 Whitelaw Ave, Delacombe VIC 3356",http://jastec.com.au
Biggenden Engineering Works,1300 244 364,"Lot 87 Airstrip Rd, Biggenden QLD 4621",http://www.bigeng.com.au
Stubbs Engineering Pty Ltd,(07) 4153 4743,"1 - 3 Melvin St, Bundaberg QLD 4670",http://stubbsengineering.com.au
Tasmanian Line Boring Services,0409 547 998,"620 Porters Bridge Rd, Deloraine TAS 7304",N/A
Gunrad Industries,(02) 6742 5922,"19 Quia Rd, Gunnedah NSW 2380",https://www.facebook.com/people/Gunrad-Industries/100054391095010
Albury Engineering Pty Ltd,(02) 6025 5522,"920 Carcoola St, Albury NSW 2640",http://www.alburyengineering.org
K.E.V. Engineering,(03) 5441 2394,"3 Woodlands Ct, Bendigo VIC 3550",http://thelongview.com.au
K.W. Precision Engineering Pty Ltd,(02) 4271 4766,"47- 51 Doyle Ave, Unanderra NSW 2526",N/A
Macleay Welding & Engineering,(02) 6562 7464,"26 Harry Boys Ave, South Kempsey NSW 2440",N/A
Tom Graham Engineering,(07) 4638 1045,"29-31 Isaac St, Toowoomba QLD 4350",https://www.facebook.com/Tom-Graham-Engineering-528612114326807
Cashcor Engineering,(07) 4035 1588,"20-24 Knight St, Portsmith QLD 4870",https://www.cashcor.com.au
Eddington Engineering Pty Ltd,(03) 5468 7210,"150 Playfair St, Eddington VIC 3472",http://www.eddingtonengineering.com.au
Emu Bay Engineering,(03) 6432 4265,"Lot 4 137-149 Wilson St, Burnie TAS 7320",N/A
Rayham Pty Ltd,(07) 4622 8833,"76 Spencer St, Roma QLD 4455",http://www.rayhamengineering.com.au
Gunther Engineering,(08) 8447 8299,"52 Kapara Rd, Gillman SA 5013",http://www.guntherengineering.com.au
Childs' Emerald Tyre Service,0403 666 361,"125 Clermont St, Emerald QLD 4720",https://www.childsemeraldtyreservice.com.au
McDowall Engineering,(07) 3881 3562,"8 Aldinga St, Brendale QLD 4500",http://www.mcde.com.au
Heavy Transport Engineering,(08) 8268 9966,"30- 32 Clyde St, Wingfield SA 5013",N/A
Kuttabul Engineering,(07) 4954 0122,"3200 Bruce Hwy, Kuttabul QLD 4741",N/A
Intech Engineering Pty Ltd,(03) 5284 1357,"2025 Ballan Rd, Anakie VIC 3221",N/A
W Cooke Engineering Pty Ltd,(07) 5531 3857,N/A,http://www.wcookeengineering.com.au
Contatore Engineering,(08) 9356 2725,"97 Radium St, Welshpool WA 6106",http://www.contatoreengineering.com.au
Wangaratta Engineering,(03) 5721 9564,"22 Gibson St, Wangaratta VIC 3677",http://www.wangengineering.com.au
BMR Engineering Pty Ltd,(08) 9726 1320,"Lot 500 Papps Rd, Brunswick Junction WA 6224",http://www.bmr-engineering.com
SJO Maintenance Pty Ltd,0409 614 184,"258 Horizon Dr, Westlake QLD 4074",http://www.sjomaintenance.com.au
Goulburn Engineering Pty Ltd,(02) 4821 1972,"Lot 1 North St, Goulburn NSW 2580",http://www.goulburnengineering.com.au
Port Adelaide Construction Pty Ltd,(08) 8632 4203,"59 Grey Terrace, Port Pirie South SA 5540",http://www.ptadelconst.com.au
Wilkinson Engineering Pty Ltd,0415 409 912,"41 McKinnon Rd, Pinelands NT 0829",http://www.wilkinsonengineering.com.au
Ausweld Lineboring,0410 067 548,"5 Pyne Cl, Mt Gambier SA 5290",http://www.ausweldlineboring.com.au
